G GS MPG FG% 3p% FT% OFF DEF RPG APG SPG BPG TO PF PPG Class
66 29 24.3 0.443 0.414 0.868 0.4 2.1 2.4 2.0 0.7 0.3 1.6 2.3 12.5 1
197 91 27.5 0.441 0.362 0.821 1.1 2.2 3.3 1.8 1.0 0.2 1.3 1.8 14.9 1
473 367 27.7 0.395 0.302 0.717 0.7 2.4 3.1 6.4 1.5 0.3 2.7 2.5 9.3 1
143 34 24.5 0.436 0.269 0.747 0.5 4.3 4.8 2.4 0.6 0.2 1.3 1.8 8.2 1
562 234 23.7 0.464 0.354 0.827 0.4 1.8 2.2 3.5 0.8 0.1 1.5 1.7 9.2 1
60 8 13.4 0.395 0.333 0.587 0.8 1.3 2.1 2.2 0.5 0.2 0.7 1.0 4.0 1
136 27 18.9 0.423 0.308 0.807 0.3 1.6 1.8 3.8 0.6 0.1 1.6 1.5 6.2 1
596 588 37.2 0.486 0.291 0.770 1.3 3.7 5.1 6.2 1.8 1.0 3.6 2.5 25.2 1
200 14 12.4 0.420 0.325 0.751 0.2 1.0 1.2 0.7 0.4 0.1 0.6 0.8 5.3 1
66 25 27.2 0.366 0.305 0.789 0.5 3.1 3.5 4.4 0.9 0.3 1.8 1.2 12.1 1
135 130 37.0 0.416 0.236 0.777 0.6 4.0 4.6 8.2 1.6 0.7 3.8 2.3 16.3 1
305 59 20.6 0.422 0.372 0.807 0.4 1.6 1.9 2.6 1.0 0.1 1.1 1.5 7.8 1
806 223 23.0 0.414 0.327 0.703 0.5 1.8 2.3 4.5 1.0 0.2 1.8 2.0 6.8 1
394 191 23.4 0.414 0.374 0.770 0.6 2.5 3.2 0.8 0.5 0.3 0.9 1.8 8.4 1
432 258 27.4 0.448 0.372 0.826 0.5 2.4 2.9 3.6 1.1 0.4 1.6 1.9 9.7 1
312 295 34.2 0.430 0.289 0.818 1.7 3.0 4.7 6.8 1.6 0.3 3.5 2.4 19.0 1
502 128 19.4 0.423 0.330 0.789 0.8 1.7 2.5 1.4 0.8 0.2 0.9 1.7 6.3 1
506 473 35.7 0.455 0.351 0.812 0.5 2.8 3.3 9.2 1.1 0.2 3.2 2.6 17.6 1
24 0 6.2 0.500 0.296 0.333 0.3 0.5 0.8 0.3 0.2 0.1 0.2 0.8 3.7 1
455 38 21.9 0.421 0.337 0.798 0.4 1.6 2.0 3.0 0.8 0.2 1.4 1.4 11.3 1
589 432 30.4 0.441 0.387 0.869 0.5 2.4 3.0 4.9 1.0 0.1 2.3 2.5 13.8 1
137 32 23.0 0.463 0.382 0.767 0.7 2.4 3.1 1.8 0.5 0.1 0.9 1.5 10.1 1
129 9 20.2 0.404 0.315 0.682 0.5 3.4 3.9 2.5 0.6 0.1 1.6 1.4 7.6 1
357 105 22.9 0.429 0.378 0.828 0.4 1.5 1.9 0.9 0.5 0.2 1.2 2.0 11.4 1
193 49 17.0 0.449 0.268 0.770 0.7 1.6 2.3 0.7 0.6 0.2 0.9 1.3 6.6 1
26 0 7.0 0.314 0.000 0.700 0.8 1.5 2.3 0.2 0.2 0.4 0.3 0.6 1.5 2
44 0 7.1 0.526 0.000 0.833 0.6 1.3 1.9 0.2 0.3 0.5 0.4 1.2 1.7 2
41 15 15.2 0.473 0.000 0.786 1.1 3.0 4.2 0.8 0.3 0.4 0.5 1.8 4.1 2
482 10 17.8 0.508 0.087 0.642 1.8 3.4 5.2 0.5 0.4 1.6 0.8 2.0 5.4 2
308 107 18.4 0.509 0.000 0.668 1.5 2.0 3.4 0.2 0.3 1.3 0.6 2.2 2.7 2
148 2 13.2 0.529 0.000 0.484 1.6 2.8 4.4 0.4 0.3 0.8 0.9 1.9 2.9 2
54 24 20.1 0.536 0.000 0.619 1.6 3.3 4.9 1.4 1.0 0.8 0.8 2.2 5.9 2
398 291 30.5 0.440 0.365 0.824 0.9 4.0 4.9 1.3 0.4 0.9 1.7 2.7 15.4 2
837 429 21.1 0.488 0.162 0.690 1.6 3.5 5.1 0.6 0.5 0.8 0.8 2.6 6.1 2
457 302 23.2 0.595 0.000 0.506 2.5 5.0 7.6 1.0 0.7 1.2 1.0 3.3 7.0 2
63 41 23.1 0.464 0.000 0.483 1.8 4.0 5.8 0.4 0.3 1.8 1.1 2.3 5.2 2
227 150 20.2 0.528 0.000 0.602 2.5 3.8 6.4 1.0 0.9 0.4 1.4 2.7 8.5 2
408 400 32.7 0.522 0.045 0.574 2.8 6.5 9.3 2.3 0.7 1.6 2.0 3.3 12.7 2
561 87 18.9 0.467 0.415 0.780 1.0 2.5 3.5 0.8 0.4 0.3 0.4 1.9 6.8 2
585 270 22.4 0.492 0.111 0.573 1.8 3.8 5.6 0.9 0.5 0.6 1.3 2.3 6.8 2
392 300 26.0 0.566 0.111 0.687 2.4 5.4 7.8 1.2 0.3 1.6 1.6 2.5 11.7 2
949 782 30.0 0.467 0.205 0.672 2.7 7.2 9.9 1.9 1.0 2.4 1.4 2.8 9.7 2
724 527 28.1 0.578 0.000 0.633 3.1 5.9 8.9 0.8 0.6 1.4 1.6 3.1 8.6 2
675 467 21.3 0.412 0.226 0.645 1.3 2.6 3.9 0.9 0.5 0.5 0.9 2.9 3.8 2
